# dc:title,教育部國語辭典簡編本詞庫,
# dc:rights,中華民國教育部（Ministry of Education, R.O.C.）。《國語辭典簡編本》（版本編號：2014_20251229 ）網址： http://dict.concised.moe.edu.tw /,
# dc:license,CC-BY-ND-3.0-TW,
# dc:identifier,2025.12.29,
百步蛇,1,ㄅㄞˇ ㄅㄨˋ ㄕㄜˊ
百密一疏,1,ㄅㄞˇ ㄇㄧˋ ㄧ ㄕㄨ
百密一疏,1,ㄅㄞˇ ㄇㄧˋ ㄧˋ ㄕㄨ
百發百中,1,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥˋ
百廢待舉,1,ㄅㄞˇ ㄈㄟˋ ㄉㄞˋ ㄐㄩˇ
百分比,1,ㄅㄞˇ ㄈㄣ ㄅㄧˇ
百分點,1,ㄅㄞˇ ㄈㄣ ㄉㄧㄢˇ
百分率,1,ㄅㄞˇ ㄈㄣ ㄌㄩˋ
百分之百,1,ㄅㄞˇ ㄈㄣ ㄓ ㄅㄞˇ
百毒不侵,1,ㄅㄞˇ ㄉㄨˊ ㄅㄨˋ ㄑㄧㄣ
百讀不厭,1,ㄅㄞˇ ㄉㄨˊ ㄅㄨˋ ㄧㄢˋ
百讀不厭,1,ㄅㄞˇ ㄉㄨˊ ㄅㄨˊ ㄧㄢˋ
百年,1,ㄅㄞˇ ㄋㄧㄢˊ
百年大計,1,ㄅㄞˇ ㄋㄧㄢˊ ㄉㄚˋ ㄐㄧˋ
百年好合,1,ㄅㄞˇ ㄋㄧㄢˊ ㄏㄠˇ ㄏㄜˊ
百年樹人,1,ㄅㄞˇ ㄋㄧㄢˊ ㄕㄨˋ ㄖㄣˊ
百老匯,1,ㄅㄞˇ ㄌㄠˇ ㄏㄨㄟˋ
百里侯,1,ㄅㄞˇ ㄌㄧˇ ㄏㄡˊ
百靈鳥,1,ㄅㄞˇ ㄌㄧㄥˊ ㄋㄧㄠˇ
百感交集,1,ㄅㄞˇ ㄍㄢˇ ㄐㄧㄠ ㄐㄧˊ
百科全書,1,ㄅㄞˇ ㄎㄜ ㄑㄩㄢˊ ㄕㄨ
百口莫辯,1,ㄅㄞˇ ㄎㄡˇ ㄇㄛˋ ㄅㄧㄢˋ
百看不厭,1,ㄅㄞˇ ㄎㄢˋ ㄅㄨˋ ㄧㄢˋ
百看不厭,1,ㄅㄞˇ ㄎㄢˋ ㄅㄨˊ ㄧㄢˋ
百孔千瘡,1,ㄅㄞˇ ㄎㄨㄥˇ ㄑㄧㄢ ㄔㄨㄤ
百合,1,ㄅㄞˇ ㄏㄜˊ
百合花,1,ㄅㄞˇ ㄏㄜˊ ㄏㄨㄚ
百花齊放,1,ㄅㄞˇ ㄏㄨㄚ ㄑㄧˊ ㄈㄤˋ
百貨,1,ㄅㄞˇ ㄏㄨㄛˋ
百貨公司,1,ㄅㄞˇ ㄏㄨㄛˋ ㄍㄨㄥ ㄙ
百貨業,1,ㄅㄞˇ ㄏㄨㄛˋ ㄧㄝˋ
百家齊鳴,1,ㄅㄞˇ ㄐㄧㄚ ㄑㄧˊ ㄇㄧㄥˊ
百家爭鳴,1,ㄅㄞˇ ㄐㄧㄚ ㄓㄥ ㄇㄧㄥˊ
百姓,1,ㄅㄞˇ ㄒㄧㄥˋ
百折不撓,1,ㄅㄞˇ ㄓㄜˊ ㄅㄨˋ ㄋㄠˊ
百褶裙,1,ㄅㄞˇ ㄓㄜˊ ㄑㄩㄣˊ
百戰百勝,1,ㄅㄞˇ ㄓㄢˋ ㄅㄞˇ ㄕㄥˋ
百戰不殆,1,ㄅㄞˇ ㄓㄢˋ ㄅㄨˋ ㄉㄞˋ
百戰不殆,1,ㄅㄞˇ ㄓㄢˋ ㄅㄨˊ ㄉㄞˋ
百吃不厭,1,ㄅㄞˇ ㄔ ㄅㄨˋ ㄧㄢˋ
百吃不厭,1,ㄅㄞˇ ㄔ ㄅㄨˊ ㄧㄢˋ
百尺竿頭,1,ㄅㄞˇ ㄔˇ ㄍㄢ ㄊㄡˊ
百日咳,1,ㄅㄞˇ ㄖˋ ㄎㄜˊ
百思不解,1,ㄅㄞˇ ㄙ ㄅㄨˋ ㄐㄧㄝˇ
百依百順,1,ㄅㄞˇ ㄧ ㄅㄞˇ ㄕㄨㄣˋ
百葉窗,1,ㄅㄞˇ ㄧㄝˋ ㄔㄨㄤ
百無聊賴,1,ㄅㄞˇ ㄨˊ ㄌㄧㄠˊ ㄌㄞˋ
百無禁忌,1,ㄅㄞˇ ㄨˊ ㄐㄧㄣˋ ㄐㄧˋ
百無一失,1,ㄅㄞˇ ㄨˊ ㄧ ㄕ
百無一失,1,ㄅㄞˇ ㄨˊ ㄧˋ ㄕ
百無一用,1,ㄅㄞˇ ㄨˊ ㄧ ㄩㄥˋ
百無一用,1,ㄅㄞˇ ㄨˊ ㄧˊ ㄩㄥˋ
百武彗星,1,ㄅㄞˇ ㄨˇ ㄏㄨㄟˋ ㄒㄧㄥ
百聞不如一見,1,ㄅㄞˇ ㄨㄣˊ ㄅㄨˋ ㄖㄨˊ ㄧ ㄐㄧㄢˋ
百聞不如一見,1,ㄅㄞˇ ㄨㄣˊ ㄅㄨˋ ㄖㄨˊ ㄧˊ ㄐㄧㄢˋ
佰,1,ㄅㄞˇ
擺,1,ㄅㄞˇ
擺不平,1,ㄅㄞˇ ㄅㄨˋ ㄆㄧㄥˊ
擺布,1,ㄅㄞˇ ㄅㄨˋ
擺平,1,ㄅㄞˇ ㄆㄧㄥˊ
擺明,1,ㄅㄞˇ ㄇㄧㄥˊ
擺放,1,ㄅㄞˇ ㄈㄤˋ
擺盪,1,ㄅㄞˇ ㄉㄤˋ
擺地攤,1,ㄅㄞˇ ㄉㄧˋ ㄊㄢ
擺渡,1,ㄅㄞˇ ㄉㄨˋ
擺動,1,ㄅㄞˇ ㄉㄨㄥˋ
擺攤,1,ㄅㄞˇ ㄊㄢ
擺脫,1,ㄅㄞˇ ㄊㄨㄛ
擺弄,1,ㄅㄞˇ ㄋㄨㄥˋ
擺了一道,1,ㄅㄞˇ ㄌㄜ˙ ㄧ ㄉㄠˋ
擺了一道,1,ㄅㄞˇ ㄌㄜ˙ ㄧˊ ㄉㄠˋ
擺龍門陣,1,ㄅㄞˇ ㄌㄨㄥˊ ㄇㄣˊ ㄓㄣˋ
擺開,1,ㄅㄞˇ ㄎㄞ
擺闊,1,ㄅㄞˇ ㄎㄨㄛˋ
擺架子,1,ㄅㄞˇ ㄐㄧㄚˋ ㄗ˙
擺出,1,ㄅㄞˇ ㄔㄨ
擺飾,1,ㄅㄞˇ ㄕˋ
擺設,1,ㄅㄞˇ ㄕㄜˋ
